title,artist,lead,ready
At The Hop,Danny and the Juniors,Dee,no
Back In The USSR,The Beatles,Dee,no
Bad Moon Rising,Creedence Clearwater Revival,Dee,yes
Baggy Trousers,Madness,Pete,yes
Be My Baby,The Ronettes,Dee,yes
Before You Accuse Me,Eric Clapton,Tony,no
Better,Tom Baxter,Dee,yes
Black Magic Woman,Santan,Ian,yes
Brown Sugar,The Rolling Stones,Pete,yes
Can't Buy Me Love,The Beatles,Dee,yes
Crash,The Primitives,Dee,yes
Crazy Little Thing Called Love,Queen,Dee,yes
Dancing In The Streets,David Bowie & Mick Jagger,Dee,no
Do It Again,The Beach Boys,Dee,yes
Don't Stop,Fleetwood Mac,Dee,yes
Don't Stop Me Now,Queen,Dee,no
Dreadlock Holiday,10cc,?,no
Dreams,Fleetwood Mac,Dee,no
Echo Beach,Martha and the Muffins,Dee,no
Eight Days A Week,The Beatles,Dee,no
The First Time Ever I Saw Your Face,Roberta Flack,Dee,yes
Get Back,The Beatles,Dee,yes
Get It On,T. Rex,Pete,yes
Get Off My Cloud,The Rolling Stones,Pete,no
Gimme Gimme Gimme,Abba,Dee,no
Have I The Right,The Honeycombs,Dee,no
(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson,Dee,no
Hippy Hippy Shake,The Swinging Blue Jeans,Dee,no
I Only Want To Be With You,The Tourists,Dee,yes
I Should Have Known Better,The Beatles,Pete,no
I'll Be Your Baby Tonight,Bob Dylan,Dee,yes
I'm A Believer,The Monkees,Dee,yes
Johnny B. Goode,Chuck Berry,Dee,yes
Knock On Wood,Eddie Floyd,Dee,yes
Let's Dance,Chris Montex,Dee,yes
Let's Have A Party,Wanda Jackson,Dee,yes
Let's Stick Together,?,Dee,no
Madness,Madness,Pete,yes
Madness,Muse,Marcus,yes
Make You Feel My Love,Adele,Dee,yes
"Man, I feel Like A Woman",Shania Twain,Dee,yes
Mercy,Duffy,Dee,yes
My Baby Just Cares For Me,Nina Simone,Dee,no
Never Forget You,The Noisettes,Dee,no
No More Heroes,The Stranglers,Pete,yes
Nothin' Shakin' But The Leaves On The Trees,Eddir Fontaine,Dee,yes
One Way Or Another,Blondie,Dee,yes
Perfect,Fairground Attraction,Dee,yes
Ring Ring,Abba,Dee,no
Rock Around The Clock,Bill Hayley and his Comets,Pete,no
Rocking All Over The World,Status Quo,Pete,no
Route 66,The Rolling Stones,Pete,no
S.O.S.,Abba,Dee,yes
The Shoop Shoop Song (It's in His Kiss),Cher,Dee,yes
Somebody To Love,Queen,Dee,no
Something,The Beatles,Dee,yes
Still Got The Blues,Gary Moore,?,no
Suffragette City,David Bowie,Dee,no
Sunny Afternoon,The Kinks,Dee,yes
Superstition,Stevie Wonder,?,no
Teenage kicks,The Undertones,Marcus,yes
That Man,Caro Emerald,Dee,yes
These Boots Are Made For Walking,Nancy Sinatra,Dee,yes
Upside Down,Paloma Faith,Dee,yes
Valerie,Amy Winehouse,Dee,yes
Walking By Myself,Gary Moore,?,no
What's Up,4 Non Blondes,Dee,yes
When You Walk In The Room,The Searchers,Dee,yes
Will You Still Love Me Tomorrow,The Shirelles,Dee,yes
Whole Lotta Shakin' Goin' On,Jerry Lee Lweis,Pete,yes
Wipeout,The Champs,Guitars,yes
Wooly Bully,Sam The Sham and the Pharoahs,Dee,no
